OP;MARCA;ARTICULO;DESCRIPCION;RUBRO;STOCK_TXT;PVC;IVA;II;MKUP;PVL;OFF;IMAGEN_URL_1;IMAGEN_URL_2;IMAGEN_URL_3;IMAGEN_URL_4;IMAGEN_URL_5;NUEVO_INGRESO
5515;PEARL;DC1465S/C 119;"Redoblante | Dennis Chambers Signature | 14""x6.5"" | 4 capas de Maple | Aros MasterCast | 10 torres | Color Back Matte 
 
";Cuerpos Sueltos para Bateria;<10;1512701.01;0.21;0;0.45;2654033.917;;https://todomusica.com.ar/28288-large_default/img.jpg; https://todomusica.com.ar/28289-large_default/img.jpg; https://todomusica.com.ar/28290-large_default/img.jpg;;;
5515;PEARL;DMPA1455S/C 875;"Redoblante | Decade Maple Series | 14""x5.5 | 6 capas  5.4mm All Maple Shell | Aros 1.6mm Hoops 8 Torres | Tirabordona SR-700/C | 875 Black Satin Marble |";Cuerpos Sueltos para Bateria;>10;278967.78;0.21;0;0.45;489448.969;;;;;;;
5515;PEARL;DMPA1455S/C 876;"Redoblante | Decade Maple Series | 14""x5.5 | 6 capas  5.4mm All Maple Shell | Aros 1.6mm Hoops 8 Torres | Tirabordona SR-700/C | 876 Satin Caramel Veil";Cuerpos Sueltos para Bateria;>10;278967.78;0.21;0;0.45;489448.969;;;;;;;
5515;PEARL;DMPA905P/C 875;"Bateria | Decade Maple Artisan Series | 5 cuerpos | Sin Fierros | B20""x16 | TT10""x7 | TT12""x8 | TF14""x14 | R14""x5.5 | All Maple Shell | 875";Baterias Acusticas;>10;1422510.18;0.21;0;0.45;2495794.11;;https://todomusica.com.ar/31008-large_default/img.jpg; https://todomusica.com.ar/31009-large_default/img.jpg;;;;
5515;PEARL;DMPA905P/C 876;"Bateria | Decade Maple Artisan Series | 5 cuerpos | Sin Fierros | B20""x16 | TT10""x7 | TT12""x8 | TF14""x14 | R14""x5.5 | All Maple Shell | 876 Satin Caramel Veil";Baterias Acusticas;>10;1422510.18;0.21;0;0.45;2495794.11;;https://todomusica.com.ar/31010-large_default/img.jpg; https://todomusica.com.ar/31011-large_default/img.jpg;;;;
5515;PEARL;DMPA925SP/C 875;"Bateria | Decade Maple Artisan Series | 5 cuerpos | Sin Fierros | B22""x18 | TT10""x7 | TT12""x8 | TF16""x16 | R14""x5.5 | All Maple Shell | 875";Baterias Acusticas;>10;1473381;0.21;0;0.45;2585046.965;;https://todomusica.com.ar/31004-large_default/img.jpg; https://todomusica.com.ar/31005-large_default/img.jpg;;;;
5515;PEARL;DMPA925SP/C 876;"Bateria | Decade Maple Artisan Series | 5 cuerpos | Sin Fierros | B22""x18 | TT10""x7 | TT12""x8 | TF16""x16 | R14""x5.5 | All Maple Shell | 876 Satin Caramel Veil";Baterias Acusticas;>10;1473381;0.21;0;0.45;2585046.965;;https://todomusica.com.ar/31006-large_default/img.jpg; https://todomusica.com.ar/31007-large_default/img.jpg;;;;
5515;PEARL;DMPA943XP/C 875;"Bateria | Decade Maple Artisan Series | 3 cuerpos | Sin Fierros | B24""x14 | TT13""x9 | TF16""x16 | All Maple Shell | 875";Baterias Acusticas;>10;1167506.34;0.21;0;0.45;2048389.87;;;;;;;
5515;PEARL;DMPA943XP/C 876;"Bateria | Decade Maple Artisan Series | 3 cuerpos | Sin Fierros | B24""x14 | TT13""x9 | TF16""x16 | All Maple Shell | 876 Satin Caramel Veil";Baterias Acusticas;>10;1167506.34;0.21;0;0.45;2048389.87;;;;;;;
5515;PEARL;DMPC1455S/C 828;"Redoblante | Decade Maple Series | 14""x5.5 | 6 capas  5.4mm All Maple Shell | Aros Triple-Flanged Hoops 8 Torres | Tirabordona SR-700/C | 828 Matte Dark Walnut";Cuerpos Sueltos para Bateria;>10;265667.22;0.21;0;0.45;466113.139;;;;;;;
5515;PEARL;DMPC1455S/C 889;"Redoblante | Decade Maple Series | 14""x5.5 | 6 capas  5.4mm All Maple Shell | Aros Triple-Flanged Hoops 8 Torres | Tirabordona SR-700/C | 889 Gloss Exotic Maple";Cuerpos Sueltos para Bateria;>10;265667.22;0.21;0;0.45;466113.139;;;;;;;
5515;PEARL;DMPC905P/C 828;"Bateria | Decade Maple Series | 5 cuerpos | Sin Fierros | B20""x16 | TT10""x7 | TT12""x8 | TF14""x14 | R14""x5.5 | All Maple Shell | 828 Matte Dark Walnut";Baterias Acusticas;<10;1359676.5;0.21;0;0.45;2385552.425;;https://todomusica.com.ar/31023-large_default/img.jpg; https://todomusica.com.ar/31024-large_default/img.jpg;;;;
5515;PEARL;DMPC905P/C 889;"Bateria | Decade Maple Series | 5 cuerpos | Sin Fierros | B20""x16 | TT10""x7 | TT12""x8 | TF14""x14 | R14""x5.5 | All Maple Shell | 889 Gloss Exotic Maple";Baterias Acusticas;<10;1359676.5;0.21;0;0.45;2385552.425;;https://todomusica.com.ar/31021-large_default/img.jpg; https://todomusica.com.ar/31022-large_default/img.jpg;;;;
5515;PEARL;DMPC925SP/C 828;"Bateria | Decade Maple Series | 5 cuerpos | Sin Fierros | B22""x18 | TT10""x7 | TT12""x8 | TF16""x16 | R14""x5.5 | All Maple Shell | 828 Matte Dark Walnut";Baterias Acusticas;<10;1410547.32;0.21;0;0.45;2474805.268;;https://todomusica.com.ar/31014-large_default/img.jpg; https://todomusica.com.ar/31015-large_default/img.jpg;;;;
5515;PEARL;DMPC925SP/C 889;"Bateria | Decade Maple Series | 5 cuerpos | Sin Fierros | B22""x18 | TT10""x7 | TT12""x8 | TF16""x16 | R14""x5.5 | All Maple Shell | 889 Gloss Exotic Maple";Baterias Acusticas;<10;1410547.32;0.21;0;0.45;2474805.268;;https://todomusica.com.ar/31012-large_default/img.jpg; https://todomusica.com.ar/31013-large_default/img.jpg;;;;
5515;PEARL;DMPC943XP/C 828;"Bateria | Decade Maple Series | 3 cuerpos | Sin Fierros | B24""x14 | TT13""x9 | TF16""x16 | All Maple Shell | 828 Matte Dark Walnut";Baterias Acusticas;<10;1104634.44;0.21;0;0.45;1938081.127;;;;;;;
5515;PEARL;DMPC943XP/C 889;"Bateria | Decade Maple Series | 3 cuerpos | Sin Fierros | B24""x14 | TT13""x9 | TF16""x16 | All Maple Shell | 889 Gloss Exotic Maple";Baterias Acusticas;<10;1104634.44;0.21;0;0.45;1938081.127;;;;;;;
5515;PEARL;DMPR925SP/C 712;"Bateria  | Decade Maple Series | 5 cuerpos | Sin Fierros  | B22""x18 | TT10""x7 | TT12""x8   | TF16""x16 | R14""x5 |  Maple  | 712 Ocean Galaxy Flake";Baterias Acusticas;<10;1269757.83;0.21;0;0.45;2227790.109;;https://todomusica.com.ar/13311-large_default/img.jpg;;;;;
5515;PEARL;DMPR925SP/C 713;"Bateria  | Decade Maple Series | 5 cuerpos | Sin Fierros  | B22""x18 | TT10""x7 | TT12""x8   | TF16""x16 | R14""x5 |  Maple  | 713 Crimson Galaxy Flake";Baterias Acusticas;<10;1269757.83;0.21;0;0.45;2227790.109;;https://todomusica.com.ar/13312-large_default/img.jpg;;;;;
5515;PEARL;DMPR925SP/C 714;"Bateria  | Decade Maple Series | 5 cuerpos | Sin Fierros  | B22""x18 | TT10""x7 | TT12""x8   | TF16""x16 | R14""x5 |  Maple  | 714 Slata Galaxy Flake";Baterias Acusticas;<10;1269757.83;0.21;0;0.45;2227790.109;;https://todomusica.com.ar/27459-large_default/img.jpg;;;;;
5515;PEARL;DMP1414F/C 262;"Floor Tom | Decade Maple Series | FT14""x14 | Maple | 262 Satin Black Burst";Cuerpos Sueltos para Bateria;<10;380551.91;0.21;0;0.45;667678.327;;https://todomusica.com.ar/27502-large_default/img.jpg;;;;;
5515;PEARL;DMP1455S/C 207;"Redoblante | Decade Maple Series | 14""x5.5 | 6 capas  5.4mm All Maple Shell | Aros 1.6mm Hoops 8 Torres | Tirabordona SR-700/C | 207 Ultramarine Velvet";Cuerpos Sueltos para Bateria;>10;265667.22;0.21;0;0.45;466113.139;;;;;;;
5515;PEARL;DMP1455S/C 213;"Redoblante | DecaMaple Series | SN14""x5;5 | Maple | 213 Deep Forest Burst";Cuerpos Sueltos para Bateria;<10;254296.44;0.21;0;0.45;446163.106;;;;;;;
5515;PEARL;DMP1455S/C 215;"Redoblante | DecaMaple Series | SN14""x5;5 | Maple | 215 Satin Gold Meringue";Cuerpos Sueltos para Bateria;<10;254296.44;0.21;0;0.45;446163.106;;;;;;;
5515;PEARL;DMP1455S/C 227;"Redoblante | Decade Maple Series | 14""x5.5 | 6 capas  5.4mm All Maple Shell | Aros 1.6mm Hoops 8 Torres | Tirabordona SR-700/C | 227 Satin Slate Black";Cuerpos Sueltos para Bateria;>10;265667.22;0.21;0;0.45;466113.139;;;;;;;
5515;PEARL;DMP1455S/C 228;"Redoblante | DecaMaple Series | SN14""x5;5 | Maple | 228 Solid Yellow";Cuerpos Sueltos para Bateria;<10;280629.75;0.21;0;0.45;492364.899;;https://todomusica.com.ar/19171-large_default/img.jpg; https://todomusica.com.ar/19172-large_default/img.jpg; https://todomusica.com.ar/19173-large_default/img.jpg;;;
5515;PEARL;DMP1455S/C 260;"Redoblante | DecaMaple Series | SN14""x5;5 | Maple | 260 Satin Brown Pearl";Cuerpos Sueltos para Bateria;>10;265667.22;0.21;0;0.45;466113.139;;https://todomusica.com.ar/19176-large_default/img.jpg;;;;;
5515;PEARL;DMP1455S/C 262;"Redoblante | DecaMaple Series | SN14""x5;5 | Maple | 262 Satin Black Burst";Cuerpos Sueltos para Bateria;>10;265667.22;0.21;0;0.45;466113.139;;https://todomusica.com.ar/19067-large_default/img.jpg;;;;;
5515;PEARL;DMP1455S/C 884;"Redoblante | Decade Maple Series | 14""x5.5 | 6 capas  5.4mm All Maple Shell | Aros 1.6mm Hoops 8 Torres | Tirabordona SR-700/C | 884 Ice Mint";Cuerpos Sueltos para Bateria;>10;265667.22;0.21;0;0.45;466113.139;;;;;;;
5515;PEARL;DMP1455S/C 899;"Redoblante | Decade Maple Series | 14""x5.5 | 6 capas  5.4mm All Maple Shell | Aros 1.6mm Hoops 8 Torres | Tirabordona SR-700/C | 899 Matte Racing Red";Cuerpos Sueltos para Bateria;>10;265667.22;0.21;0;0.45;466113.139;;;;;;;
5515;PEARL;DMP905P/C 207;"Bateria | Decade Maple Series | 5 cuerpos | Sin Fierros | B20""x16 | TT10""x7 | TT12""x8 | TF14""x14 | R14""x5.5 | All Maple Shell | 207 Ultramarine Velvet";Baterias Acusticas;<10;1359676.5;0.21;0;0.45;2385552.425;;https://todomusica.com.ar/31031-large_default/img.jpg;;;;;
5515;PEARL;DMP905P/C 227;"Bateria | Decade Maple Series | 5 cuerpos | Sin Fierros | B20""x16 | TT10""x7 | TT12""x8 | TF14""x14 | R14""x5.5 | All Maple Shell | 227 Satin Slate Black";Baterias Acusticas;<10;1359676.5;0.21;0;0.45;2385552.425;;https://todomusica.com.ar/31029-large_default/img.jpg;;;;;
5515;PEARL;DMP905P/C 260;"Bateria  | Decade Maple Series | 5 cuerpos | Sin Fierros  | B20""x16 | TT10""x7 | TT12""x8   | TF14""x14 | R14""x5 |  Maple  | 260 Satin Brown Burst";Baterias Acusticas;<10;1359676.5;0.21;0;0.45;2385552.425;;https://todomusica.com.ar/13083-large_default/img.jpg;;;;;
