OP;MARCA;ARTICULO;DESCRIPCION;RUBRO;STOCK_TXT;PVC;IVA;II;MKUP;PVL;OFF;IMAGEN_URL_1;IMAGEN_URL_2;IMAGEN_URL_3;IMAGEN_URL_4;IMAGEN_URL_5;NUEVO_INGRESO
5580;QUIK LOK;BX/8;Banqueta rectangular | para Pianista |Base tijera | Soporta hasta 112 Kg | Altura ajustable,  48, 51, 58cm | Asiento 25x53x7,5cm | c: BK;Accesorios de Baterias;INGRESANDO;74997.02;0.21;0;0.45;131582.273;;https://todomusica.com.ar/29756-large_default/img.jpg; https://todomusica.com.ar/29757-large_default/img.jpg; https://todomusica.com.ar/29758-large_default/img.jpg; https://todomusica.com.ar/29759-large_default/img.jpg; https://todomusica.com.ar/29760-large_default/img.jpg;
5580;QUIK LOK;BZ/7;Banqueta rectangular  Profesional | Base tipo Z | Soporta hasta 112 Kg | Altura ajustable, 7 posiciones | Ajuste rapido |  45,5 a 63,5cm | Asiento 31,5x41,5x6cm | c: Bk;Accesorios de Baterias;>10;211246.96;0.21;0;0.45;370632.789;;https://todomusica.com.ar/29750-large_default/img.jpg; https://todomusica.com.ar/29751-large_default/img.jpg; https://todomusica.com.ar/29752-large_default/img.jpg; https://todomusica.com.ar/29753-large_default/img.jpg; https://todomusica.com.ar/29754-large_default/img.jpg;
5580;QUIK LOK;DJ/233;Mesa de trabajo para DJs plegable y altura ajustable  | Performace | Mesa de: 100cm x 49 cm | Altura Regulable: (64 - 75 - 86 - 97 cm) | soporta hasta: 90Kg | c: Negro;Accesorios de Sonido;>10;278822.33;0.21;0;0.45;489193.78;;https://todomusica.com.ar/28164-large_default/img.jpg; https://todomusica.com.ar/28165-large_default/img.jpg; https://todomusica.com.ar/28166-large_default/img.jpg; https://todomusica.com.ar/28167-large_default/img.jpg;0;
5580;QUIK LOK;FPC/QUIKBOARD JAR PACK;"Cables interconexión pedales | Pack  en Balde de 65u c| cables interconexión pedales | 20 cm | Conectores Amphenol ACPMRB  | c; BK";Cables y Mangueras;<10;919664.13;0.21;0;0.45;1613550.718;;https://todomusica.com.ar/29609-large_default/img.jpg; https://todomusica.com.ar/29610-large_default/img.jpg;0;0;0;
5580;QUIK LOK;GI/8;Soporte compacto para guitarra | Compact | universal : Clas/Acust/Electr |Base redonda  | portable  |c:  Negro;Soportes;>10;34864.24;0.21;0;0.45;61169.312;;https://todomusica.com.ar/28168-large_default/img.jpg; https://todomusica.com.ar/28169-large_default/img.jpg; https://todomusica.com.ar/28170-large_default/img.jpg; https://todomusica.com.ar/28171-large_default/img.jpg; https://todomusica.com.ar/28172-large_default/img.jpg;
5580;QUIK LOK;GSW/001;Soporte para guitarra/bajo de pared | Tornillos y anclajes de montaje incluidos | de acero, base de madera roble;Soportes;>10;29320.76;0.21;0;0.45;51443.271;;https://todomusica.com.ar/29728-large_default/img.jpg; https://todomusica.com.ar/29729-large_default/img.jpg; https://todomusica.com.ar/29730-large_default/img.jpg;0;0;
5580;QUIK LOK;GS/350-BB;Soporte Universal para Guitarra | Hasta 4 guitarras Acústicas, 6 guitarras eléctricas o bajos o combinación de ambos | de acero | discos ajustables de goma | 49x75x64cm;Soportes;INGRESANDO;119482.12;0.21;0;0.45;209631.375;;https://todomusica.com.ar/29745-large_default/img.jpg; https://todomusica.com.ar/29746-large_default/img.jpg; https://todomusica.com.ar/29747-large_default/img.jpg; https://todomusica.com.ar/29748-large_default/img.jpg; https://todomusica.com.ar/29749-large_default/img.jpg;
5580;QUIK LOK;GS/402;Soporte para guitarra de pared | Herrajes de montaje incluidos | de acero | Acolchado | Soporta 12.5Kg;Soportes;>10;15988.99;0.21;0;0.45;28052.688;;https://todomusica.com.ar/29743-large_default/img.jpg; https://todomusica.com.ar/29744-large_default/img.jpg;0;0;0;
5580;QUIK LOK;GS/403;Soporte para guitarra de pared con horquilla elevada | Herrajes de montaje incluidos | de acero | Acolchado | Soporta 12.5Kg;Soportes;<10;17180.14;0.21;0;0.45;30142.552;;https://todomusica.com.ar/29742-large_default/img.jpg;0;0;0;0;
5580;QUIK LOK;GS/434;Soporte compacto para guitarra/Bajo  eléctrico |Plegable |c: Negro;Soportes;>10;39674.69;0.21;0;0.45;69609.243;;https://todomusica.com.ar/28173-large_default/img.jpg; https://todomusica.com.ar/28174-large_default/img.jpg; https://todomusica.com.ar/28175-large_default/img.jpg;0;0;
5580;QUIK LOK;GS/435;Soporte compacto para Guit Acustica |Plegable |c: Negro;Soportes;>10;42560.96;0.21;0;0.45;74673.202;;https://todomusica.com.ar/28051-large_default/img.jpg; https://todomusica.com.ar/28052-large_default/img.jpg; https://todomusica.com.ar/28053-large_default/img.jpg;0;0;
5580;QUIK LOK;GS/436;"Soporte para guitarra, estructura ""A"" | 29x36x41.5cm | Peso 1,2 Kg | Construido en caño tubo, 30x15mm";Soportes;>10;27946.37;0.21;0;0.45;49031.91;;https://todomusica.com.ar/29740-large_default/img.jpg; https://todomusica.com.ar/29741-large_default/img.jpg;0;0;0;
5580;QUIK LOK;GS/437-BB;"Soporte para guitarra ACÚSTICA, estructura ""A"" | 29x36x41.5cm | Peso 1,2 Kg | Construido en caño tubo, 30x15mm";Soportes;>10;24647.77;0.21;0;0.45;43244.517;;https://todomusica.com.ar/29738-large_default/img.jpg; https://todomusica.com.ar/29739-large_default/img.jpg;0;0;0;
